Model,Accuracy,F1-Macro,F1-Weighted,CV Score,CV Std,Train Time,Predict Time,model
Logistic Regression,0.6058537806710065,0.6019997832653392,0.6020938088742405,0.6055008369677541,0.0006285938716675274,65.33583545684814,0.14044451713562012,"LogisticRegression(max_iter=1000, random_state=42)"
Linear SVC,0.6035978968452679,0.5986494631622575,0.5987506396359978,0.6031433660928313,0.00016839806403840177,93.0777690410614,0.1060323715209961,"LinearSVC(class_weight='balanced', max_iter=2000, random_state=42)"
Linear SVM (SGD),0.5845868803204807,0.5740489825864541,0.5741850706522283,0.5846849171747068,0.0011547642582758067,9.351593971252441,0.10493135452270508,"SGDClassifier(class_weight='balanced', random_state=42)"
Multinomial NB,0.5696319479218829,0.5736482924047376,0.5736998129358044,0.569394085822099,0.0008096557032482158,0.30257272720336914,0.12440800666809082,MultinomialNB()
